Analysegruppe;Dato;Bestilt;Kommet;Restanse;Eldste_dager
CYTOMETRI;2026-08-01;7;7;0;
CYTOMETRI;2026-08-02;1;1;0;
CYTOMETRI;2026-08-03;14;14;0;
CYTOMETRI;2026-08-04;16;16;0;
CYTOMETRI;2026-08-05;11;11;0;
CYTOMETRI;2026-08-06;14;14;0;
CYTOMETRI;2026-08-07;12;12;0;
CYTOMETRI;2026-08-08;3;3;0;
CYTOMETRI;2026-08-09;3;3;0;
CYTOMETRI;2026-08-10;12;12;0;
CYTOMETRI;2026-08-11;12;12;0;
CYTOMETRI;2026-08-12;11;11;0;
CYTOMETRI;2026-08-13;12;12;0;
CYTOMETRI;2026-08-14;9;9;0;
CYTOMETRI;2026-08-15;1;1;0;
CYTOMETRI;2026-08-16;3;3;0;
CYTOMETRI;2026-08-17;14;14;0;
CYTOMETRI;2026-08-18;11;11;0;
CYTOMETRI;2026-08-19;17;17;0;
CYTOMETRI;2026-08-20;15;15;0;
CYTOMETRI;2026-08-21;8;8;0;
CYTOMETRI;2026-08-22;7;7;0;
CYTOMETRI;2026-08-23;3;3;0;
CYTOMETRI;2026-08-24;12;12;0;
CYTOMETRI;2026-08-25;8;8;0;
CYTOMETRI;2026-08-26;14;14;0;
CYTOMETRI;2026-08-27;16;16;0;
CYTOMETRI;2026-08-28;14;14;0;
CYTOMETRI;2026-08-29;3;3;0;
CYTOMETRI;2026-08-30;3;3;0;
CYTOMETRI;2026-08-31;15;15;0;
CYTOMETRI;2026-09-01;9;9;0;
CYTOMETRI;2026-09-02;14;14;0;
CYTOMETRI;2026-09-03;8;8;0;
CYTOMETRI;2026-09-04;13;11;2;3
CYTOMETRI;2026-09-05;3;3;0;
CYTOMETRI;2026-09-06;4;4;0;
CYTOMETRI;2026-09-07;10;0;10;0
KLONALITET;2026-08-01;1;1;0;
KLONALITET;2026-08-02;1;1;0;
KLONALITET;2026-08-03;10;10;0;
KLONALITET;2026-08-04;12;12;0;
