Analyse;Analysenavn;Rapportgruppe;Svarfrist;Pris2026NOK;Priskobling;Svartidstype;Aktiv;Kommentar
FISH-11qEP-OU;11q23.3/11q24.3/CEP11;FISH;5;;;Resultat;Ja;
FISH-ALK-EML4BADF-OU;ALK (2p23.1-p23.2)/EML4 (2p21);FISH;5;;;Resultat;Ja;
FISH-ALKBA-OU;ALK (2p23);FISH;5;;;Resultat;Ja;
FISH-BCL1-IGHDF-OU;BCL1 (CCND1, 11q13)/IGH (14q32);FISH;5;;;Resultat;Nei;Erstattet av FISH-IGH-CCND1-DF-OU
FISH-BCL2BA-OU;BCL2 (18q21);FISH;5;;;Resultat;Ja;
FISH-BCL6BA-OU;BCL6 (3q27);FISH;5;;;Resultat;Ja;
FISH-BCR-ABLDF-OU;BCR (22q11.2)/ABL (q34.1);FISH;5;;;Resultat;Ja;
FISH-BRAF-KIAADF-OU;BRAF-KIAA1549 (7q34);FISH;5;;;Resultat;Ja;
FISH-CAMTA-WWTRDF-OU;CAMTA1(1p36.31-p36.23)/WWTR1(3q25.1);FISH;5;;;Resultat;Ja;
FISH-CCND2BA-OU;CCND2 (12p13.32);FISH;5;;;Resultat;Ja;
FISH-CCND3BA-OU;CCND3 (6p21.1);FISH;5;;;Resultat;Ja;
FISH-CDK4EP-OU;CDK4 (12q13)/CEN12;FISH;5;;;Resultat;Ja;
FISH-CDKN2AEP-OU;FISH CDKN2A (9p21,3)/9q12 amplification/deletion probe;FISH;5;;;Resultat;Ja;
FISH-CEN3CEN8EP-OU;CEN3/CEN8;FISH;5;;;Resultat;Ja;
FISH-C-METEP-OU;MET (7p31)/CEN7;FISH;5;;;Resultat;Ja;
FISH-C-MYCBA-OU;C-MYC (8q24);FISH;5;;;Resultat;Ja;
FISH-C-MYCEP-OU;C-MYC (8q24)/CEN8;FISH;5;;;Resultat;Ja;
FISH-C-MYCBATC-OU;C-MYC (8q24.21);FISH;5;;;Resultat;Ja;
FISH-DDIT3BA-OU;DDIT3 (12q13);FISH;5;;;Resultat;Ja;
FISH-EGFREP-OU;EGFR(7p12)/CEN7;FISH;5;;;Resultat;Ja;
FISH-ETV6BA-OU;ETV6 (12p13);FISH;5;;;Resultat;Ja;
FISH-CEN12EP-OU;CEN12;FISH;5;;;Resultat;Ja;
FISH-EWSR1BA-OU;EWSR1 (22q12);FISH;5;;;Resultat;Ja;
FISH-FOXO1BA-OU;FOXO1 (13q14);FISH;5;;;Resultat;Ja;
FISH-FUSBA-OU;FUS (16p11);FISH;5;;;Resultat;Ja;
FISH-HER2EP-OU;HER2 (17q11.2-q12)/CEN17;FISH;5;;;Resultat;Ja;
FISH-IGHBA-OU;IGH (14q32);FISH;5;;;Resultat;Ja;
FISH-IGH-C-MYCDF-OU;IGH (14q32)/C-MYC (8q24), CEN8;FISH;5;;;Resultat;Ja;
FISH-IGKBA-OU;IGK (2p11);FISH;5;;;Resultat;Ja;
FISH-IGLBA-OU;IGL (22q11);FISH;5;;;Resultat;Ja;
FISH-IRF4DUSP22BA-OU;IRF4/DUSP22;FISH;5;;;Resultat;Ja;
FISH-ISO12pEP-OU;iso12p, 12p11.21(RP11-8P13)/CEP12;FISH;5;;;Resultat;Ja;
FISH-ISO17QEP-OU;iso17q, TP53(17p13)/MPO (17q22);FISH;5;;;Resultat;Ja;
FISH-KLL1EP-OU;KLL1, p53 (17q13.1)/ATM (11q22);FISH;5;;;Resultat;Ja;
FISH-KLL2EP-OU;KLL2, D13S319 (13q14)/13q34/CEN12;FISH;5;;;Resultat;Ja;
FISH-KMT2AEP-OU;KMT2A (11q23)/CEN11;FISH;5;;;Resultat;Ja;
FISH-MALT1BA-OU;MALT1 (18q21);FISH;5;;;Resultat;Ja;
FISH-MAML2BA-OU;MAML2 (11q21);FISH;5;;;Resultat;Ja;
FISH-MDM2EP-OU;MDM2 (12q15)/CEN12;FISH;5;;;Resultat;Ja;
FISH-MN1BA-OU;MN1 (22q12.1);FISH;5;;;Resultat;Ja;
FISH-N-MYC-AFF3EP-OU;N-MYC (2p24)/AFF3 (2q11.2);FISH;5;;;Resultat;Ja;
FISH-N-MYC-CEN2EP-OU;N-MYC (2p24)/CEN2;FISH;5;;;Resultat;Ja;
FISH-NTRK2BA-OU;NTRK2 (9q21.33);FISH;5;;;Resultat;Ja;
FISH-NTRK3BA-OU;NTRK3 (15q25.3);FISH;5;;;Resultat;Ja;
